                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.60038,                 1.0981,                0.69734,                 1.0522,                0.80384,                0.82618,                0.87843,                0.71637,                0.79935,                0.82719,                 0.8834,                0.68948,                0.72131,                 1.1975,                0.66026,                   1.09,             0.00067862,             0.00067862,             0.00067862
                     67,                 0.6153,                 1.0737,                0.69484,                 1.0514,                0.90499,                0.82488,                0.89989,                0.71793,                0.91544,                0.81816,                 0.8887,                0.68975,                0.72365,                 1.2251,                0.67043,                 1.0851,             0.00067502,             0.00067502,             0.00067502
                     68,                0.60547,                  1.069,                0.69668,                  1.051,                0.82879,                0.80003,                0.86295,                0.69309,                0.84673,                0.81393,                0.88131,                0.66835,                0.71129,                 1.2624,                0.68899,                 1.0805,             0.00067142,             0.00067142,             0.00067142
                     69,                0.60704,                 1.0435,                0.69166,                 1.0486,                0.83774,                0.81848,                0.86758,                0.69878,                0.83703,                0.81738,                0.86005,                 0.6716,                0.70538,                 1.2472,                0.63162,                 1.0745,             0.00066782,             0.00066782,             0.00066782
                     70,                0.60087,                  1.067,                0.66974,                 1.0495,                0.77929,                0.85731,                0.88228,                0.71456,                0.78568,                0.86068,                 0.8899,                0.68914,                 0.7076,                 1.2064,                0.63325,                 1.0788,             0.00066422,             0.00066422,             0.00066422
                     71,                0.59529,                 1.0641,                0.66467,                 1.0445,                 0.8393,                0.83451,                0.87328,                0.69085,                0.85837,                0.81948,                0.87418,                0.67211,                0.72273,                 1.2427,                0.63824,                 1.0956,             0.00066062,             0.00066062,             0.00066062
                     72,                0.60316,                 1.0945,                 0.6812,                 1.0609,                0.84068,                0.83717,                0.88313,                0.69331,                0.83334,                0.82865,                0.86904,                0.66688,                0.73561,                 1.2388,                0.64748,                 1.0951,             0.00065703,             0.00065703,             0.00065703
                     73,                0.59976,                 1.0635,                0.69029,                 1.0467,                0.80842,                0.84855,                0.87599,                0.69112,                0.81086,                0.85201,                0.87189,                0.67256,                0.73364,                 1.2439,                0.64251,                 1.0964,             0.00065343,             0.00065343,             0.00065343
                     74,                0.59379,                 1.0691,                0.66727,                 1.0443,                 0.8354,                0.85946,                0.88699,                0.70858,                0.82896,                 0.8532,                0.87362,                0.68196,                0.72669,                 1.2565,                 0.6453,                 1.0896,             0.00064983,             0.00064983,             0.00064983
                     75,                0.58365,                 1.0579,                0.66393,                 1.0432,                0.83048,                 0.8579,                0.88785,                0.70581,                0.84123,                0.83036,                0.87865,                0.68512,                0.71321,                 1.2368,                0.63748,                  1.097,             0.00064623,             0.00064623,             0.00064623
                     76,                0.59545,                 1.0426,                0.65683,                 1.0399,                0.78262,                0.87732,                0.87767,                0.70739,                0.79972,                0.88377,                0.88805,                0.68247,                0.69037,                 1.2328,                0.64553,                 1.0672,             0.00064263,             0.00064263,             0.00064263
                     77,                0.57799,                 1.0222,                0.64769,                 1.0382,                0.82154,                0.83879,                 0.8679,                0.69684,                0.84265,                0.86517,                 0.8983,                0.68499,                0.72094,                 1.2009,                0.62783,                 1.0948,             0.00063903,             0.00063903,             0.00063903
                     78,                0.59272,                 1.0593,                0.65841,                 1.0405,                 0.8177,                 0.8557,                0.87652,                 0.7048,                0.83306,                0.87092,                0.89109,                 0.6888,                0.71349,                 1.2607,                0.65246,                 1.0952,             0.00063543,             0.00063543,             0.00063543
                     79,                0.59215,                 1.0572,                0.65021,                 1.0424,                0.82424,                0.82263,                0.87321,                0.69655,                0.82433,                0.82438,                0.87132,                0.67279,                0.71888,                  1.232,                0.65585,                 1.0856,             0.00063183,             0.00063183,             0.00063183
                     80,                0.58425,                 1.0127,                0.65662,                  1.036,                0.83307,                0.86663,                0.87369,                0.69977,                0.83538,                0.86084,                0.87346,                0.67636,                0.71566,                 1.2342,                0.64092,                 1.0907,             0.00062823,             0.00062823,             0.00062823
                     81,                0.56926,                 1.0073,                0.63786,                 1.0286,                0.76233,                0.83975,                0.87248,                0.69573,                0.76059,                0.83811,                0.86484,                0.67725,                0.71938,                 1.2046,                0.64892,                 1.0964,             0.00062463,             0.00062463,             0.00062463
                     82,                0.58864,                 1.0473,                0.64866,                 1.0414,                0.82164,                0.85998,                0.86395,                 0.6992,                0.82963,                0.86595,                 0.8788,                 0.6742,                 0.7161,                 1.2252,                0.62584,                 1.0947,             0.00062103,             0.00062103,             0.00062103
                     83,                0.57806,                  1.018,                0.65233,                 1.0289,                0.84835,                 0.8297,                  0.871,                0.69251,                0.84325,                0.82497,                0.86449,                0.66642,                0.72241,                 1.2295,                0.64859,                  1.093,             0.00061743,             0.00061743,             0.00061743
