                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    216,                 0.4519,                0.79063,                0.41401,                0.95807,                0.93024,                0.88339,                0.92811,                0.76728,                0.92649,                0.87962,                0.92089,                0.73742,                0.68237,                 1.2172,                0.54312,                 1.0931,             0.00013868,             0.00013868,             0.00013868
                    217,                0.45368,                0.79172,                0.41591,                0.95598,                0.94045,                 0.8638,                0.92419,                0.76807,                0.93635,                0.85918,                 0.9157,                0.73822,                0.67703,                 1.2207,                0.51271,                 1.0883,             0.00013508,             0.00013508,             0.00013508
                    218,                0.45737,                0.79332,                0.41729,                0.96281,                0.91457,                 0.8836,                0.92394,                0.76983,                0.91058,                0.88044,                0.91837,                0.74092,                0.66627,                 1.2259,                0.52413,                 1.0727,             0.00013148,             0.00013148,             0.00013148
                    219,                0.44185,                0.78273,                0.40852,                0.95008,                0.91599,                0.90586,                0.92418,                0.76553,                0.91246,                0.90089,                0.91577,                0.73867,                 0.6644,                 1.2131,                0.51397,                 1.0729,             0.00012788,             0.00012788,             0.00012788
                    220,                0.44502,                0.77363,                0.40763,                0.94897,                0.93183,                0.89831,                0.92339,                0.76576,                0.92957,                0.89531,                0.91571,                0.73949,                0.67047,                 1.2247,                0.51306,                  1.082,             0.00012428,             0.00012428,             0.00012428
                    221,                0.44264,                0.77625,                0.40076,                0.95529,                0.93234,                0.89808,                0.92483,                0.77238,                0.92884,                0.89385,                0.91743,                0.74297,                0.67642,                  1.231,                0.51568,                 1.0858,             0.00012068,             0.00012068,             0.00012068
                    222,                0.45092,                0.78601,                0.40834,                0.95442,                 0.9307,                0.88299,                0.91936,                0.77511,                0.93733,                0.88871,                0.92178,                 0.7416,                 0.6761,                 1.2179,                0.52283,                 1.0877,             0.00011708,             0.00011708,             0.00011708
                    223,                0.44525,                0.78459,                0.40058,                0.95459,                0.89029,                0.90059,                0.91305,                0.76834,                0.89803,                 0.9022,                0.91216,                0.73577,                0.67685,                 1.2203,                0.51506,                 1.0913,             0.00011348,             0.00011348,             0.00011348
                    224,                0.43841,                0.78412,                0.40379,                0.94516,                0.89176,                0.89588,                0.91876,                 0.7638,                0.90453,                0.87017,                0.91087,                0.73603,                0.68239,                 1.2225,                0.52276,                 1.0964,             0.00010988,             0.00010988,             0.00010988
                    225,                0.44804,                   0.79,                0.41161,                0.95522,                 0.9144,                0.89686,                0.92207,                0.76366,                0.91072,                0.89317,                0.91671,                0.73759,                0.68629,                 1.2304,                0.52822,                 1.0973,             0.00010628,             0.00010628,             0.00010628
                    226,                0.43631,                0.75935,                0.39665,                0.94804,                 0.9213,                 0.8855,                0.92396,                0.76048,                 0.9188,                0.88223,                0.91505,                0.73795,                0.68789,                 1.2214,                0.50997,                 1.0986,             0.00010268,             0.00010268,             0.00010268
                    227,                0.44353,                0.77304,                0.40361,                0.94889,                0.93137,                0.88666,                0.92566,                0.76281,                0.92853,                 0.8829,                0.91671,                0.73695,                 0.6891,                 1.2253,                0.51484,                 1.0966,             9.9081e-05,             9.9081e-05,             9.9081e-05
                    228,                0.45224,                0.76648,                 0.4012,                0.95628,                0.90891,                0.86675,                0.91086,                0.77114,                0.91732,                 0.8723,                0.91732,                0.74222,                0.67977,                 1.2207,                0.51849,                 1.0875,             9.5481e-05,             9.5481e-05,             9.5481e-05
                    229,                 0.4483,                0.78219,                0.40749,                0.95148,                 0.9018,                0.88454,                0.90755,                0.76383,                0.90693,                 0.8896,                0.91599,                0.73675,                0.68318,                 1.2132,                0.51836,                 1.0935,             9.1882e-05,             9.1882e-05,             9.1882e-05
                    230,                0.44102,                0.76484,                 0.3969,                0.95123,                0.93312,                0.87301,                0.92244,                0.76564,                0.92941,                0.86921,                0.91707,                0.74156,                0.67175,                 1.2007,                0.51465,                 1.0838,             8.8282e-05,             8.8282e-05,             8.8282e-05
                    231,                0.44373,                0.77956,                 0.3987,                0.95399,                0.93201,                0.87814,                0.92736,                0.77082,                0.90745,                0.89454,                0.92243,                0.74524,                0.67076,                 1.2162,                0.52254,                 1.0865,             8.4682e-05,             8.4682e-05,             8.4682e-05
                    232,                0.44493,                0.78036,                0.40691,                0.95458,                0.93399,                 0.8759,                0.92614,                0.76957,                0.93069,                0.87295,                0.92074,                0.74611,                0.67785,                 1.2174,                0.52382,                 1.0941,             8.1083e-05,             8.1083e-05,             8.1083e-05
                    233,                0.44941,                 0.7922,                0.41086,                0.95595,                0.93475,                0.88285,                0.92819,                0.77592,                0.93119,                0.87893,                0.92235,                 0.7442,                0.67432,                 1.2105,                   0.52,                 1.0881,             7.7483e-05,             7.7483e-05,             7.7483e-05
                    234,                0.43766,                0.77525,                0.39766,                0.94982,                 0.9173,                0.89478,                0.92309,                 0.7681,                0.91317,                0.89277,                0.91845,                0.73809,                0.67838,                 1.2123,                0.51956,                 1.0965,             7.3884e-05,             7.3884e-05,             7.3884e-05
                    235,                0.44165,                0.76924,                0.39206,                0.95274,                 0.9155,                0.88222,                0.92314,                0.76996,                 0.8882,                0.91017,                0.91709,                0.73684,                0.67895,                 1.2056,                0.51981,                 1.0971,             7.0284e-05,             7.0284e-05,             7.0284e-05
                    236,                0.43165,                 0.7489,                0.38505,                0.95381,                0.91679,                0.89095,                 0.9226,                0.77107,                0.91244,                0.88688,                0.91713,                0.73711,                0.67009,                 1.2066,                0.50772,                 1.0872,             6.6684e-05,             6.6684e-05,             6.6684e-05
                    237,                0.43874,                0.75944,                0.39035,                0.95349,                0.91358,                0.89112,                0.92135,                  0.769,                0.90925,                0.88705,                0.91586,                0.73786,                 0.6687,                 1.2198,                0.51505,                 1.0834,             6.3085e-05,             6.3085e-05,             6.3085e-05
                    238,                0.43409,                0.76455,                0.40165,                0.94673,                0.91527,                 0.8893,                0.91925,                0.76693,                0.91139,                0.88602,                0.91382,                0.73832,                0.66762,                 1.2041,                 0.5122,                 1.0789,             5.9485e-05,             5.9485e-05,             5.9485e-05
                    239,                 0.4425,                0.78318,                0.40181,                0.95038,                0.94109,                0.87433,                0.92064,                0.76946,                0.93839,                0.87194,                0.91548,                0.73866,                 0.6622,                 1.2022,                 0.5093,                  1.078,             5.5885e-05,             5.5885e-05,             5.5885e-05
                    240,                0.43223,                0.75957,                0.39089,                0.94629,                0.92326,                0.89488,                0.92079,                0.77262,                0.91941,                0.89137,                0.91468,                0.74042,                0.66063,                  1.208,                0.51341,                 1.0783,             5.2286e-05,             5.2286e-05,             5.2286e-05
                    241,                0.38118,                 0.7027,                0.33794,                0.92919,                0.92591,                0.89567,                0.91703,                0.77253,                0.93141,                0.89979,                0.91827,                 0.7402,                0.66154,                 1.2268,                0.51534,                 1.0774,             4.8686e-05,             4.8686e-05,             4.8686e-05
                    242,                0.37186,                0.67293,                0.30995,                0.92066,                0.92267,                0.87741,                0.92356,                0.77156,                0.91954,                0.87446,                0.91831,                 0.7409,                0.65987,                 1.2292,                 0.5155,                 1.0744,             4.5086e-05,             4.5086e-05,             4.5086e-05
                    243,                0.36189,                0.65857,                0.30338,                0.91825,                0.89767,                0.88044,                0.92367,                0.77329,                0.88594,                0.89022,                0.91679,                0.73877,                0.65886,                  1.239,                0.51724,                 1.0743,             4.1487e-05,             4.1487e-05,             4.1487e-05
                    244,                0.36683,                0.66549,                0.31337,                0.92155,                0.89299,                0.89275,                0.92329,                0.77304,                0.88923,                0.88924,                0.91646,                0.74057,                  0.652,                 1.2359,                0.50934,                 1.0675,             3.7887e-05,             3.7887e-05,             3.7887e-05
                    245,                0.36503,                 0.6663,                0.30762,                0.91636,                0.88719,                0.90127,                0.91773,                0.77112,                0.88414,                0.89826,                0.91213,                0.73903,                0.66007,                 1.2307,                0.51697,                  1.072,             3.4287e-05,             3.4287e-05,             3.4287e-05
                    246,                0.36173,                0.67085,                0.30549,                0.92025,                0.86579,                0.90917,                0.91238,                0.76743,                0.89397,                0.87935,                0.91083,                0.73719,                0.66168,                  1.232,                0.51391,                 1.0739,             3.0688e-05,             3.0688e-05,             3.0688e-05
                    247,                0.36824,                0.66208,                0.30869,                0.92311,                0.87718,                0.90369,                0.91677,                 0.7675,                 0.8735,                0.90035,                0.91066,                0.73547,                0.66195,                 1.2352,                0.51177,                 1.0736,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    248,                0.35258,                0.65299,                 0.2935,                0.90925,                0.89412,                0.90266,                0.91746,                0.77001,                0.89048,                0.89883,                0.91142,                0.73754,                0.66244,                 1.2348,                0.51014,                 1.0746,             2.3489e-05,             2.3489e-05,             2.3489e-05
